NAMESPACE           NAME                                        READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS                           IMAGES                                                                                                                                                                                                                                                    SELECTOR
external-secrets    external-secrets-webhook                    1/1     1            1           287d    webhook                              oci.external-secrets.io/external-secrets/external-secrets:v0.19.2                                                                                                                                                                                         app.kubernetes.io/instance=external-secrets,app.kubernetes.io/name=external-secrets-webhook
istio-system        istio-ingressgateway                        1/1     1            1           287d    istio-proxy                          docker.io/istio/proxyv2:1.25.0                                                                                                                                                                                                                            app=istio-ingressgateway,istio=ingressgateway
istio-system        istiod                                      1/1     1            1           287d    discovery                            docker.io/istio/pilot:1.25.0                                                                                                                                                                                                                              istio=pilot
knative-serving     activator                                   1/1     1            1           287d    activator                            gcr.io/knative-releases/knative.dev/serving/cmd/activator@sha256:2103e1a2d0e70ee8c63f7aad7dde837ed3b58ab9f2679d23b76a6e0884fccc9f                                                                                                                         app=activator,role=activator
knative-serving     autoscaler                                  1/1     1            1           287d    autoscaler                           gcr.io/knative-releases/knative.dev/serving/cmd/autoscaler@sha256:65ac8ba6223f42edab3dee7b84748c672a12681da12b8aa742e0ed9b3bebfbdc                                                                                                                        app=autoscaler
knative-serving     controller                                  1/1     1            1           287d    controller                           gcr.io/knative-releases/knative.dev/serving/cmd/controller@sha256:c9edc5b63816ed9676ad65f583d29cf5467d62aa8c0a179d80a45ee0f3f63f34                                                                                                                        app=controller
knative-serving     net-istio-controller                        1/1     1            1           287d    controller                           gcr.io/knative-releases/knative.dev/net-istio/cmd/controller@sha256:dc4a7b28354b2f9e2f024930569abb37bd14568c0df14dae6fb432e7735a6f39                                                                                                                      app=net-istio-controller
knative-serving     net-istio-webhook                           1/1     1            1           287d    webhook                              gcr.io/knative-releases/knative.dev/net-istio/cmd/webhook@sha256:221521529bf8573122e4989993f62322bbf3e9f64e82995a558c0af9c602e6bd                                                                                                                         app=net-istio-webhook,role=net-istio-webhook
knative-serving     webhook                                     1/1     1            1           287d    webhook                              gcr.io/knative-releases/knative.dev/serving/cmd/webhook@sha256:bc6ca25097059fbd7180d1e29dbb235544278b7e98e0b7fce5945a27e7d3f9c5                                                                                                                           app=webhook,role=webhook
kube-system         azure-wi-webhook-controller-manager         2/2     2            2           2d16h   manager                              mcr.microsoft.com/oss/v2/azure/workload-identity/webhook:v1.5.1-8                                                                                                                                                                                         azure-workload-identity.io/system=true,kubernetes.azure.com/managedby=aks
kube-system         coredns                                     2/2     2            2           287d    coredns                              mcr.microsoft.com/oss/v2/kubernetes/coredns:v1.9.4-13                                                                                                                                                                                                     k8s-app=kube-dns,version=v20
kube-system         coredns-autoscaler                          1/1     1            1           287d    autoscaler                           mcr.microsoft.com/oss/v2/kubernetes/autoscaler/cluster-proportional-autoscaler:v1.8.11-14                                                                                                                                                                 k8s-app=coredns-autoscaler
kube-system         konnectivity-agent                          2/2     2            2           287d    konnectivity-agent                   mcr.microsoft.com/oss/v2/kubernetes/apiserver-network-proxy/agent:v0.32.1-5                                                                                                                                                                               app=konnectivity-agent
kube-system         konnectivity-agent-autoscaler               1/1     1            1           287d    autoscaler                           mcr.microsoft.com/oss/v2/kubernetes/autoscaler/cluster-proportional-autoscaler:v1.8.11-14                                                                                                                                                                 app=konnectivity-agent-autoscaler
kube-system         metrics-server                              2/2     2            2           287d    metrics-server-vpa,metrics-server    mcr.microsoft.com/oss/v2/kubernetes/autoscaler/addon-resizer:v1.8.23-14,mcr.microsoft.com/oss/v2/kubernetes/metrics-server:v0.6.3-13                                                                                                                      k8s-app=metrics-server
search              searxng                                     1/1     1            1           2d14h   searxng                              searxng/searxng:latest                                                                                                                                                                                                                                    app=searxng
tigera-operator     tigera-operator                             1/1     1            1           287d    tigera-operator                      mcr.microsoft.com/mirror/quay/tigera/operator:v1.34.14                                                                                                                                                                                                    name=tigera-operator
vela-system         kubevela-cluster-gateway                    1/1     1            1           287d    kubevela-vela-core-cluster-gateway   oamdev/cluster-gateway:v1.9.0-alpha.2                                                                                                                                                                                                                     app.kubernetes.io/instance=kubevela-cluster-gateway,app.kubernetes.io/name=vela-core-cluster-gateway
vela-system         kubevela-vela-core                          1/1     1            1           287d    kubevela                             oamdev/vela-core:v1.10.3                                                                                                                                                                                                                                  app.kubernetes.io/instance=kubevela,app.kubernetes.io/name=vela-core
